symbol
AMZN
GD
NVDA
GOOGL
RHM.DE
PLTR
HIA1.F
RBI.VI
AMD
ASML
TSM
MRVL
SMCI
MRNA
CRSP
BNTX
ARGX
EXEL
SAGE
LDO.MI
BA.L
AIR.PA
HO.PA
HAG.DE
