fold,rmse,ic,auc,brier,n_val
1,0.8519146298335685,0.08037678305108002,0.6028930741992538,0.2342279734484052,6289
2,0.944241664678363,0.03611084103685968,0.5822581430656393,0.23489277012132628,7198
3,1.1427211558887684,0.026948221423931974,0.5683037851276538,0.23667493096945025,7991
4,0.9706864819781136,0.014078017901047804,0.5774951080611136,0.23647099242731803,8032
5,1.025211248879493,0.0659760076365568,0.5853001044141625,0.2393453706336837,8021
