CAGR,Vol,Sharpe,MaxDD,THRESH,HitRate,Exposure,TurnoverYr,AvgHoldDays
-0.0051968514623602635,0.010499562487812978,-0.49495885837075004,-0.1895396692533331,0.565,9.837678307919331e-05,0.05764879488440728,6.7828037383177575,4.47682119205298
-0.006479222050128186,0.010557974362322087,-0.6136804113912593,-0.2306266299049876,0.56,9.837678307919331e-05,0.0691588785046729,8.071933103787506,4.488888888888889
-0.001090887062388135,0.0010683610145011443,-1.0210846779143368,-0.043068174716359264,0.65,0.0,0.008657156910969011,1.0908017707820954,4.24
-0.001140443299247229,0.0010911222617244864,-1.0452021182711388,-0.044981081435101156,0.645,0.0,0.009050664043285785,1.1403836694540088,4.230769230769231
-0.013164524093848273,0.011554117982308027,-1.139379406892516,-0.4140349282367102,0.555,0.00019675356615838662,0.1321200196753566,15.434608952287261,4.538243626062323
-0.001388187608443836,0.001198339561560154,-1.1584259194752056,-0.05448840917137143,0.64,0.0,0.010919822921790457,1.388293162813576,4.161290322580645
-0.0014872681260194032,0.001238575413358307,-1.200789318097946,-0.05826478624624176,0.635,0.0,0.011706837186424004,1.4874569601574028,4.151515151515151
-0.0017184122656626055,0.0013234544109936958,-1.2984295124849534,-0.0670175736932469,0.63,0.0,0.01367437284800787,1.7188391539596657,4.2105263157894735
-0.0017184122656626055,0.0013234544109936958,-1.2984295124849534,-0.0670175736932469,0.625,0.0,0.01367437284800787,1.7188391539596657,4.2105263157894735
-0.0018174600189252432,0.0013598980500573962,-1.3364678468717086,-0.0707439092349128,0.62,0.0,0.014461387112641416,1.8180029513034925,4.2
-0.00196601322285217,0.0014127501636805244,-1.391621302474511,-0.07630552550933045,0.61,0.0,0.015641908509591736,1.9667486473192328,4.186046511627907
-0.00196601322285217,0.0014127501636805244,-1.391621302474511,-0.07630552550933045,0.615,0.0,0.015641908509591736,1.9667486473192328,4.186046511627907
-0.002015526044390814,0.0014299198455188008,-1.4095377798323687,-0.07815199076383716,0.605,0.0,0.01603541564190851,2.0163305459911465,4.181818181818182
-0.002015526044390814,0.0014299198455188008,-1.4095377798323687,-0.07815199076383716,0.6,0.0,0.01603541564190851,2.0163305459911465,4.181818181818182
-0.0164962747813715,0.01168690009385903,-1.4115184222409494,-0.4887511165482442,0.55,0.00019675356615838662,0.16094441711756025,18.81444171175603,4.61662817551963
-0.0020650364095806673,0.0014468790508011921,-1.4272349913679225,-0.07999476493430024,0.595,0.0,0.016428922774225283,2.0659124446630597,4.177777777777778
-0.0020650364095806673,0.0014468790508011921,-1.4272349913679225,-0.07999476493430024,0.59,0.0,0.016822429906542057,2.0659124446630597,4.266666666666667
-0.002312578934131171,0.0015466768227379083,-1.4951920790003643,-0.08915454133571621,0.585,0.0,0.018691588785046728,2.313821938022627,4.24
-0.0031948845703070328,0.0018059293494013201,-1.7691082828717315,-0.1210845992330779,0.58,0.0,0.025184456468273487,3.198032464338416,4.147058823529412
-0.003837570821319747,0.001973561820733106,-1.9444897955586866,-0.1436531434209639,0.575,0.0,0.0308903098868667,3.8425971470732905,4.2560975609756095
-0.003985823384912823,0.0020097501825775315,-1.983243200804665,-0.14877839647168634,0.57,0.0,0.03246433841613379,3.991342843089031,4.294117647058823
-0.026033920923691167,0.012948120831780171,-2.010633146069575,-0.6549082752252879,0.545,0.00029513034923757994,0.2527299557304476,29.315573044761436,4.775280898876405
-0.04072108146444364,0.014918189021665848,-2.7296263243014267,-0.8130275375127208,0.54,0.0004918839153959665,0.3855386128873586,45.24570406474981,4.927731092436975
-0.027318981053085056,0.009908456170374601,-2.75713800246363,-0.6728041477227069,0.5,0.000983767830791933,0.9999016232169208,29.307490000561177,28.565601736972706
-0.033081589253434185,0.010017136729288636,-3.302499521316154,-0.7425320794501953,0.505,0.000983767830791933,0.9999016232169208,35.34057627298707,23.348228663446054
-0.04063577006393104,0.010191136417806643,-3.987363960012298,-0.8123557008188925,0.51,0.000983767830791933,0.9997048696507624,43.64593938171638,18.671476393858942
-0.058924285244133956,0.013131197568225967,-4.487350444464805,-0.9136642158310486,0.535,0.0006886374815543532,0.5390063944909002,64.34349732903594,5.050461204557786
-0.0750671458535015,0.014342504281925416,-5.233893912662237,-0.9570353135793801,0.53,0.000983767830791933,0.671716674864732,81.53827262752003,5.2061209439528024
-0.09547275930993793,0.014807495007967502,-6.44759692699992,-0.9825281091974938,0.525,0.0011805213969503198,0.8549926217412691,104.5282379724351,5.61244117045222
-0.08045071987087282,0.011867371064650412,-6.779152638996271,-0.9660485219387509,0.515,0.0011805213969503198,0.9973438268568617,86.70400292485321,8.818586258032624
-0.09890853636512054,0.013938133433953247,-7.096254088383145,-0.9850142674420785,0.52,0.001278898180029513,0.989276930644368,108.37524523084578,6.859418410816818
