date,ret
2015-09-25 06:55:00+00:00,0.0
2015-09-25 07:00:00+00:00,-0.0007142857142857142
2015-09-25 13:30:00+00:00,-0.0004444444444444444
2015-09-28 06:00:00+00:00,0.0
2015-09-28 06:55:00+00:00,0.0
2015-09-28 07:00:00+00:00,0.0
2015-09-28 13:30:00+00:00,-0.0004444444444444444
2015-09-29 06:00:00+00:00,0.0
2015-09-29 06:55:00+00:00,-0.00014285714285714298
2015-09-29 07:00:00+00:00,-0.0007692307692307692
2015-09-29 13:30:00+00:00,-0.0015
2015-09-30 06:00:00+00:00,0.0
2015-09-30 06:55:00+00:00,-0.0006666666666666668
2015-09-30 07:00:00+00:00,-0.0007999999999999999
2015-09-30 13:30:00+00:00,-0.0008888888888888889
2015-10-01 06:00:00+00:00,0.0
2015-10-01 06:55:00+00:00,0.0
2015-10-01 07:00:00+00:00,-0.0004444444444444444
2015-10-01 13:30:00+00:00,-0.0014285714285714284
2015-10-02 06:00:00+00:00,0.0
2015-10-02 06:55:00+00:00,0.0
2015-10-02 07:00:00+00:00,-0.0006666666666666668
2015-10-02 13:30:00+00:00,-0.0007999999999999999
2015-10-05 06:00:00+00:00,0.0
2015-10-05 06:55:00+00:00,0.0
2015-10-05 07:00:00+00:00,-0.00039999999999999996
2015-10-05 13:30:00+00:00,-0.0011111111111111111
2015-10-06 06:00:00+00:00,-0.00022222222222222226
2015-10-06 06:55:00+00:00,-0.00024999999999999995
2015-10-06 07:00:00+00:00,-0.0008333333333333333
2015-10-06 13:30:00+00:00,-0.0008333333333333333
2015-10-07 06:00:00+00:00,0.0
2015-10-07 06:55:00+00:00,-0.00024999999999999995
2015-10-07 07:00:00+00:00,-0.00075
2015-10-07 13:30:00+00:00,-0.0011111111111111111
2015-10-08 06:00:00+00:00,-0.0001999999999999999
2015-10-08 06:55:00+00:00,-0.0001999999999999999
2015-10-08 07:00:00+00:00,-0.00022222222222222226
2015-10-08 13:30:00+00:00,-0.001
2015-10-09 06:00:00+00:00,0.0
2015-10-09 06:55:00+00:00,-0.00024999999999999995
2015-10-09 07:00:00+00:00,-0.0006666666666666668
2015-10-09 13:30:00+00:00,-0.0005714285714285714
2015-10-12 06:00:00+00:00,0.0
2015-10-12 06:55:00+00:00,-0.00014285714285714298
2015-10-12 07:00:00+00:00,-0.0003076923076923077
2015-10-12 13:30:00+00:00,-0.0005454545454545455
2015-10-13 06:00:00+00:00,0.0
2015-10-13 06:55:00+00:00,0.0
2015-10-13 07:00:00+00:00,-0.0003076923076923077
2015-10-13 13:30:00+00:00,-0.0002857142857142858
2015-10-14 06:00:00+00:00,0.0
2015-10-14 06:55:00+00:00,0.0
2015-10-14 07:00:00+00:00,-0.00042857142857142866
2015-10-14 13:30:00+00:00,-0.0010909090909090912
2015-10-15 06:00:00+00:00,-0.00039999999999999996
2015-10-15 06:55:00+00:00,0.0
2015-10-15 07:00:00+00:00,-0.001
2015-10-15 13:30:00+00:00,-0.0012
2015-10-16 06:00:00+00:00,-0.00033333333333333343
2015-10-16 06:55:00+00:00,0.0
2015-10-16 07:00:00+00:00,-0.0007999999999999999
2015-10-16 13:30:00+00:00,-0.0006000000000000001
2015-10-19 06:00:00+00:00,0.0
2015-10-19 06:55:00+00:00,0.0
2015-10-19 07:00:00+00:00,0.0
2015-10-19 13:30:00+00:00,-0.00075
2015-10-20 06:00:00+00:00,-0.00012499999999999998
2015-10-20 06:55:00+00:00,0.0
2015-10-20 07:00:00+00:00,-0.0006666666666666668
2015-10-20 13:30:00+00:00,-0.0006
2015-10-21 06:00:00+00:00,0.0
2015-10-21 06:55:00+00:00,0.0
2015-10-21 07:00:00+00:00,-0.00039999999999999996
2015-10-21 13:30:00+00:00,-0.0016
2015-10-22 06:00:00+00:00,0.0
2015-10-22 06:55:00+00:00,0.0
2015-10-22 07:00:00+00:00,-0.001
2015-10-22 13:30:00+00:00,0.0
2015-10-23 06:00:00+00:00,0.0
2015-10-23 06:55:00+00:00,-0.001
2015-10-23 07:00:00+00:00,-0.0015
2015-10-23 13:30:00+00:00,-0.0013333333333333335
2015-10-26 07:00:00+00:00,-0.00015384615384615374
2015-10-26 08:00:00+00:00,-0.00026666666666666673
2015-10-26 13:30:00+00:00,0.0
2015-10-27 07:00:00+00:00,-0.0001333333333333333
2015-10-27 07:55:00+00:00,-0.00014285714285714298
2015-10-27 08:00:00+00:00,-0.0007692307692307692
2015-10-27 13:30:00+00:00,-0.001
2015-10-28 07:00:00+00:00,-0.001
2015-10-28 07:55:00+00:00,-0.001
2015-10-28 08:00:00+00:00,-0.001
2015-10-28 13:30:00+00:00,-0.0014285714285714284
2015-10-29 07:00:00+00:00,-0.00014285714285714298
2015-10-29 07:55:00+00:00,0.0
2015-10-29 08:00:00+00:00,-0.00015384615384615374
2015-10-29 13:30:00+00:00,-0.0006666666666666668
2015-10-30 07:00:00+00:00,-0.0001999999999999999
2015-10-30 07:55:00+00:00,0.0
2015-10-30 08:00:00+00:00,-0.0001999999999999999
2015-10-30 13:30:00+00:00,-0.0015555555555555557
2015-11-02 07:00:00+00:00,-0.001
2015-11-02 07:55:00+00:00,0.0
2015-11-02 08:00:00+00:00,-0.0016
2015-11-02 14:30:00+00:00,-0.0008888888888888889
2015-11-03 07:00:00+00:00,0.0
2015-11-03 07:55:00+00:00,0.0
2015-11-03 08:00:00+00:00,-0.0008888888888888888
2015-11-03 14:30:00+00:00,-0.0007999999999999999
2015-11-04 07:00:00+00:00,0.0
2015-11-04 07:55:00+00:00,0.0
2015-11-04 08:00:00+00:00,-0.0007999999999999999
2015-11-04 14:30:00+00:00,-0.001090909090909091
2015-11-05 07:00:00+00:00,0.0
2015-11-05 07:55:00+00:00,0.0
2015-11-05 08:00:00+00:00,-0.00036363636363636356
2015-11-05 14:30:00+00:00,-0.0008888888888888889
2015-11-06 07:00:00+00:00,0.0
2015-11-06 07:55:00+00:00,0.0
2015-11-06 08:00:00+00:00,-0.001
2015-11-06 14:30:00+00:00,-0.0008235294117647058
2015-11-09 07:00:00+00:00,-0.00011111111111111114
2015-11-09 07:55:00+00:00,0.0
2015-11-09 08:00:00+00:00,-0.0004444444444444444
2015-11-09 14:30:00+00:00,-0.0002857142857142857
2015-11-10 07:00:00+00:00,0.0
2015-11-10 07:55:00+00:00,0.0
2015-11-10 08:00:00+00:00,-0.00016666666666666666
2015-11-10 14:30:00+00:00,-0.00033333333333333343
2015-11-11 07:00:00+00:00,-0.0001999999999999999
2015-11-11 07:55:00+00:00,0.0
2015-11-11 08:00:00+00:00,-0.0006153846153846153
2015-11-11 14:30:00+00:00,-0.00047058823529411777
2015-11-12 07:00:00+00:00,-0.00011111111111111114
2015-11-12 07:55:00+00:00,0.0
2015-11-12 08:00:00+00:00,0.0
2015-11-12 14:30:00+00:00,0.0
2015-11-13 07:00:00+00:00,0.0
2015-11-13 07:55:00+00:00,-0.00011111111111111114
2015-11-13 08:00:00+00:00,-0.0004705882352941177
2015-11-13 14:30:00+00:00,-0.0012307692307692308
2015-11-16 07:00:00+00:00,0.0
2015-11-16 07:55:00+00:00,0.0
2015-11-16 08:00:00+00:00,-0.00039999999999999996
2015-11-16 14:30:00+00:00,-0.0013333333333333335
2015-11-17 07:00:00+00:00,-0.00016666666666666674
2015-11-17 07:55:00+00:00,0.0
2015-11-17 08:00:00+00:00,-0.0004285714285714286
2015-11-17 14:30:00+00:00,-0.0012857142857142859
2015-11-18 07:00:00+00:00,-0.00033333333333333343
2015-11-18 07:55:00+00:00,0.0
2015-11-18 08:00:00+00:00,-0.0006666666666666668
2015-11-18 14:30:00+00:00,-0.001
2015-11-19 07:00:00+00:00,0.0
2015-11-19 07:55:00+00:00,0.0
2015-11-19 08:00:00+00:00,-0.00025
2015-11-19 14:30:00+00:00,-0.0004999999999999999
2015-11-20 07:00:00+00:00,-0.0002857142857142857
2015-11-20 07:55:00+00:00,-0.0002857142857142857
2015-11-20 08:00:00+00:00,-0.0002857142857142857
2015-11-20 14:30:00+00:00,-0.001090909090909091
2015-11-23 07:00:00+00:00,-0.00016666666666666674
2015-11-23 07:55:00+00:00,0.0
2015-11-23 08:00:00+00:00,-0.0003999999999999999
2015-11-23 14:30:00+00:00,-0.0004
2015-11-24 07:00:00+00:00,0.0
2015-11-24 07:55:00+00:00,0.0
2015-11-24 08:00:00+00:00,-0.0006153846153846153
2015-11-24 14:30:00+00:00,-0.0006666666666666668
2015-11-25 07:00:00+00:00,-0.00024999999999999995
2015-11-25 07:55:00+00:00,0.0
2015-11-25 08:00:00+00:00,-0.0005999999999999998
2015-11-25 14:30:00+00:00,-0.0006000000000000001
2015-11-26 07:00:00+00:00,-0.00018181818181818186
2015-11-26 07:55:00+00:00,0.0
2015-11-26 08:00:00+00:00,-0.00018181818181818183
2015-11-27 07:00:00+00:00,0.0
2015-11-27 07:55:00+00:00,0.0
2015-11-27 08:00:00+00:00,-0.00036363636363636367
2015-11-27 14:30:00+00:00,-0.0005454545454545455
2015-11-30 07:00:00+00:00,0.0
2015-11-30 07:55:00+00:00,0.0
2015-11-30 08:00:00+00:00,-0.00039999999999999996
2015-11-30 14:30:00+00:00,-0.0003999999999999999
2015-12-01 07:00:00+00:00,0.0
2015-12-01 07:55:00+00:00,0.0
