feature,gain,split
vol_126,13815.10491323471,1156
vol_63,12852.823640346527,1079
ret_126,10218.292715787888,945
volume,10063.474432468414,800
vol_21,9265.313032388687,744
EURCHF=X__close,8611.483402490616,611
EURUSD=X__close,8162.817157506943,694
^TNX__close,7914.319732427597,611
EURGBP=X__close,7881.447073221207,623
EZU__close,7568.08380818367,609
EURJPY=X__close,7090.990092039108,531
ret_63,6633.393488883972,601
SPY__close,6410.367186784744,455
macd_signal,6409.148814678192,610
vol_10,6244.75208067894,594
^STOXX50E__close,6095.8893501758575,492
^VIX__close,6027.857503414154,530
close,5992.855005025864,474
high,5902.921104669571,461
z_126,5875.592691659927,554
^TNX__z20,5476.233582496643,505
EURJPY=X__z20,5266.507566690445,474
low,5215.092976093292,441
macd,5173.851748228073,459
EURCHF=X__z20,5100.931248188019,484
ret_21,5021.911909818649,523
EURGBP=X__z20,4903.388880968094,486
open,4467.0483956336975,405
z_63,4322.010895252228,421
EURUSD=X__z20,3966.6234662532806,387
SPY__z20,3643.9771740436554,346
rsi_14,3601.0176701545715,402
^STOXX50E__z20,3461.6335248947144,369
vol_5,3316.0448067188263,376
^VIX__z20,3229.618198156357,302
ret_10,2995.7238302230835,301
z_21,2837.811331987381,320
EZU__z20,2653.3708078861237,284
ret_5,2376.8625168800354,240
z_10,2149.578973531723,246
v_z_126,1890.0707576274872,240
v_ma_ratio_63,1563.9215795993805,194
v_z_21,1487.5994625091553,187
v_ma_ratio_21,1428.6052498817444,188
v_ma_ratio_126,1423.0097432136536,178
z_5,1334.5491614341736,175
ret_1,1229.3082325458527,188
v_z_63,1179.7808833122253,139
EURCHF=X__ret1,1149.8130979537964,163
EURGBP=X__ret1,1138.5179390907288,162
^VIX__ret1,1095.7966074943542,144
v_ma_ratio_5,1088.2230104207993,166
^TNX__ret1,994.3760404586792,140
EURJPY=X__ret1,955.7951309680939,137
^STOXX50E__ret1,946.6574485301971,138
EURUSD=X__ret1,908.6104094982147,139
v_z_5,863.0176618099213,132
EZU__ret1,851.3298094272614,134
SPY__ret1,724.6561706066132,111
